rules,,support,confidence,lift,count
232,"{ASUS 2 Monitor,HP Laptop} => {iMac}",0.011082867,0.582887701,2.275784254,109
233,"{ASUS 2 Monitor,iMac} => {HP Laptop}",0.011082867,0.394927536,2.034631911,109
371,"{Acer Aspire,Dell Desktop} => {iMac}",0.011082867,0.467811159,1.826487791,109
451,"{Apple MacBook Pro,HP Laptop} => {iMac}",0.01098119,0.440816327,1.721091136,108
452,"{Apple MacBook Pro,iMac} => {HP Laptop}",0.01098119,0.318584071,1.641317096,108
231,"{ASUS 2 Monitor,iMac} => {Lenovo Desktop Computer}",0.010879512,0.387681159,2.618711678,107
377,"{Acer Aspire,iMac} => {Lenovo Desktop Computer}",0.010879512,0.354304636,2.393259679,107
230,"{ASUS 2 Monitor,Lenovo Desktop Computer} => {iMac}",0.010879512,0.591160221,2.30808288,107
376,"{Acer Aspire,Lenovo Desktop Computer} => {iMac}",0.010879512,0.484162896,1.890330322,107
535,"{Apple Earpods,iMac} => {Lenovo Desktop Computer}",0.010777834,0.267676768,1.808105089,106
56,{Panasonic In-Ear Headphone} => {iMac},0.010777834,0.432653061,1.689219078,106
36,{Logitech Keyboard} => {iMac},0.010676157,0.386029412,1.507185099,105
316,"{HP Monitor,iMac} => {HP Laptop}",0.010574479,0.393939394,2.029541089,104
315,"{HP Laptop,HP Monitor} => {iMac}",0.010574479,0.502415459,1.961594299,104
355,"{3-Button Mouse,HP Laptop} => {iMac}",0.010574479,0.466367713,1.820852107,104
417,"{iMac,Samsung Monitor} => {HP Laptop}",0.010574479,0.342105263,1.762496209,104
356,"{3-Button Mouse,iMac} => {HP Laptop}",0.010574479,0.317073171,1.633533072,104
61,{iPad} => {iMac},0.010574479,0.30952381,1.208482202,104
207,"{iMac,LG Monitor} => {HP Laptop}",0.010269446,0.461187215,2.375995943,101
464,"{Apple MacBook Air,iMac} => {HP Laptop}",0.010269446,0.360714286,1.858368256,101
206,"{HP Laptop,LG Monitor} => {iMac}",0.010269446,0.474178404,1.851347599,101
463,"{Apple MacBook Air,HP Laptop} => {iMac}",0.010269446,0.426160338,1.663869361,101
332,"{Apple Magic Keyboard,iMac} => {Dell Desktop}",0.010167768,0.314465409,2.346560922,100
331,"{Apple Magic Keyboard,Dell Desktop} => {iMac}",0.010167768,0.584795322,2.28323223,100
474,"{Acer Desktop,iMac} => {ViewSonic Monitor}",0.01006609,0.276536313,2.506667868,99
440,"{Apple MacBook Pro,iMac} => {Dell Desktop}",0.01006609,0.292035398,2.179186754,99
473,"{Acer Desktop,ViewSonic Monitor} => {iMac}",0.01006609,0.543956044,2.123782331,99
439,"{Apple MacBook Pro,Dell Desktop} => {iMac}",0.01006609,0.45412844,1.773065983,99
41,{Logitech MK550 Wireless Wave Keyboard and Mouse Combo} => {iMac},0.01006609,0.410788382,1.603852217,99
34,{Otium Wireless Sports Bluetooth Headphone} => {iMac},0.009964413,0.385826772,1.506393926,98
415,"{iMac,Samsung Monitor} => {Lenovo Desktop Computer}",0.009862735,0.319078947,2.155316928,97
450,"{Apple MacBook Pro,iMac} => {Lenovo Desktop Computer}",0.009862735,0.286135693,1.932791582,97
414,"{Lenovo Desktop Computer,Samsung Monitor} => {iMac}",0.009862735,0.455399061,1.778026902,97
449,"{Apple MacBook Pro,Lenovo Desktop Computer} => {iMac}",0.009862735,0.411016949,1.604744619,97
38,{Cambridge Bluetooth Speaker} => {iMac},0.009862735,0.347670251,1.357418387,97
260,"{ASUS Monitor,Lenovo Desktop Computer} => {iMac}",0.009761057,0.631578947,2.465890809,96
181,"{Epson Printer,iMac} => {HP Laptop}",0.009761057,0.47761194,2.460614685,96
314,"{HP Monitor,iMac} => {Lenovo Desktop Computer}",0.009761057,0.363636364,2.456293706,96
261,"{ASUS Monitor,iMac} => {Lenovo Desktop Computer}",0.009761057,0.352941176,2.384049774,96
180,"{Epson Printer,HP Laptop} => {iMac}",0.009761057,0.545454545,2.129632971,96
313,"{HP Monitor,Lenovo Desktop Computer} => {iMac}",0.009761057,0.492307692,1.922130271,96
24,{Zombie Gaming Headset} => {iMac},0.009761057,0.436363636,1.703706377,96
326,"{Apple Magic Keyboard,iMac} => {ViewSonic Monitor}",0.009557702,0.295597484,2.679448164,94
325,"{Apple Magic Keyboard,ViewSonic Monitor} => {iMac}",0.009557702,0.549707602,2.146238297,94
290,"{Dell Desktop,Microsoft Office Home and Student 2016} => {iMac}",0.009456024,0.6,2.342596268,93
191,"{ASUS Chromebook,iMac} => {HP Laptop}",0.009456024,0.442857143,2.281561027,93
291,"{iMac,Microsoft Office Home and Student 2016} => {Dell Desktop}",0.009456024,0.304918033,2.275317794,93
353,"{3-Button Mouse,Lenovo Desktop Computer} => {iMac}",0.009456024,0.519553073,2.028505149,93
354,"{3-Button Mouse,iMac} => {Lenovo Desktop Computer}",0.009456024,0.283536585,1.915235108,93
190,"{ASUS Chromebook,HP Laptop} => {iMac}",0.009456024,0.476923077,1.8620637,93
366,"{Acer Aspire,iMac} => {ViewSonic Monitor}",0.009354347,0.304635762,2.761375774,92
365,"{Acer Aspire,ViewSonic Monitor} => {iMac}",0.009354347,0.522727273,2.040898264,92
238,"{HP Laptop,Logitech 3-button Mouse} => {iMac}",0.009354347,0.5,1.952163557,92
239,"{iMac,Logitech 3-button Mouse} => {HP Laptop}",0.009354347,0.370967742,1.91119316,92
15,{Smart Light Bulb} => {iMac},0.009252669,0.522988506,2.041918203,91
247,"{Belkin Mouse Pad,iMac} => {HP Laptop}",0.009252669,0.382352941,1.969848704,91
246,"{Belkin Mouse Pad,HP Laptop} => {iMac}",0.009252669,0.469072165,1.831411172,91
225,"{ASUS 2 Monitor,Dell Desktop} => {iMac}",0.009049314,0.631205674,2.464433427,89
226,"{ASUS 2 Monitor,iMac} => {Dell Desktop}",0.009049314,0.322463768,2.406245189,89
287,"{iMac,Microsoft Office Home and Student 2016} => {ViewSonic Monitor}",0.008947636,0.28852459,2.615335801,88
286,"{Microsoft Office Home and Student 2016,ViewSonic Monitor} => {iMac}",0.008947636,0.590604027,2.305911316,88
406,"{iMac,Samsung Monitor} => {Dell Desktop}",0.008947636,0.289473684,2.160071081,88
297,"{Lenovo Desktop Computer,Microsoft Office Home and Student 2016} => {iMac}",0.008947636,0.533333333,2.082307794,88
405,"{Dell Desktop,Samsung Monitor} => {iMac}",0.008947636,0.530120482,2.069763771,88
298,"{iMac,Microsoft Office Home and Student 2016} => {Lenovo Desktop Computer}",0.008947636,0.28852459,1.948928121,88
606,"{HP Laptop,iMac,Lenovo Desktop Computer} => {Dell Desktop}",0.008845958,0.383259912,2.859909889,87
605,"{Dell Desktop,HP Laptop,iMac} => {Lenovo Desktop Computer}",0.008845958,0.397260274,2.683416754,87
604,"{Dell Desktop,iMac,Lenovo Desktop Computer} => {HP Laptop}",0.008845958,0.475409836,2.449269637,87
603,"{Dell Desktop,HP Laptop,Lenovo Desktop Computer} => {iMac}",0.008845958,0.587837838,2.295111209,87
346,"{3-Button Mouse,iMac} => {Dell Desktop}",0.008845958,0.265243902,1.979266905,87
345,"{3-Button Mouse,Dell Desktop} => {iMac}",0.008845958,0.502890173,1.963447739,87
31,{Redragon Gaming Mouse} => {iMac},0.008845958,0.379912664,1.483303314,87
594,"{Dell Desktop,HP Laptop,iMac} => {ViewSonic Monitor}",0.008744281,0.392694064,3.559581676,86
592,"{Dell Desktop,iMac,ViewSonic Monitor} => {HP Laptop}",0.008744281,0.593103448,3.05561677,86
593,"{HP Laptop,iMac,ViewSonic Monitor} => {Dell Desktop}",0.008744281,0.369098712,2.754238116,86
591,"{Dell Desktop,HP Laptop,ViewSonic Monitor} => {iMac}",0.008744281,0.573333333,2.238480879,86
445,"{Apple MacBook Pro,CYBERPOWER Gamer Desktop} => {iMac}",0.008744281,0.361344538,1.410807276,86
446,"{Apple MacBook Pro,iMac} => {CYBERPOWER Gamer Desktop}",0.008744281,0.253687316,1.379223189,86
171,"{Computer Game,iMac} => {HP Laptop}",0.008642603,0.521472393,2.686579875,85
170,"{Computer Game,HP Laptop} => {iMac}",0.008642603,0.480225989,1.874959348,85
349,"{3-Button Mouse,CYBERPOWER Gamer Desktop} => {iMac}",0.008540925,0.40776699,1.592055716,84
350,"{3-Button Mouse,iMac} => {CYBERPOWER Gamer Desktop}",0.008540925,0.256097561,1.392326983,84
602,"{HP Laptop,iMac,Lenovo Desktop Computer} => {ViewSonic Monitor}",0.008439248,0.365638767,3.314338497,83
600,"{iMac,Lenovo Desktop Computer,ViewSonic Monitor} => {HP Laptop}",0.008439248,0.535483871,2.758765778,83
167,"{HP Wireless Mouse,iMac} => {HP Laptop}",0.008439248,0.474285714,2.443478261,83
601,"{HP Laptop,iMac,ViewSonic Monitor} => {Lenovo Desktop Computer}",0.008439248,0.356223176,2.406219049,83
599,"{HP Laptop,Lenovo Desktop Computer,ViewSonic Monitor} => {iMac}",0.008439248,0.601449275,2.348254713,83
18,{Rii LED Gaming Keyboard & Mouse Combo} => {iMac},0.008439248,0.485380117,1.895082751,83
166,"{HP Laptop,HP Wireless Mouse} => {iMac}",0.008439248,0.471590909,1.841245173,83
272,"{Backlit LED Gaming Keyboard,HP Laptop} => {iMac}",0.008439248,0.436842105,1.705574476,83
273,"{Backlit LED Gaming Keyboard,iMac} => {HP Laptop}",0.008439248,0.306273063,1.577891866,83
341,"{3-Button Mouse,Apple Earpods} => {iMac}",0.00833757,0.396135266,1.546641659,82
342,"{3-Button Mouse,iMac} => {Apple Earpods}",0.00833757,0.25,1.433673469,82
252,"{ASUS Monitor,iMac} => {ViewSonic Monitor}",0.008235892,0.297794118,2.699359583,81
251,"{ASUS Monitor,ViewSonic Monitor} => {iMac}",0.008235892,0.637795276,2.490161388,81
185,"{ASUS Chromebook,iMac} => {ViewSonic Monitor}",0.008134215,0.380952381,3.453149002,80
184,"{ASUS Chromebook,ViewSonic Monitor} => {iMac}",0.008134215,0.465116279,1.8159661,80
255,"{ASUS Monitor,Dell Desktop} => {iMac}",0.007930859,0.634146341,2.475914755,78
395,"{iMac,Samsung Monitor} => {ViewSonic Monitor}",0.007930859,0.256578947,2.325764007,78
256,"{ASUS Monitor,iMac} => {Dell Desktop}",0.007930859,0.286764706,2.139856512,78
240,"{Belkin Mouse Pad,CYBERPOWER Gamer Desktop} => {iMac}",0.007930859,0.537931034,2.100258723,78
394,"{Samsung Monitor,ViewSonic Monitor} => {iMac}",0.007930859,0.516556291,2.016804734,78
241,"{Belkin Mouse Pad,iMac} => {CYBERPOWER Gamer Desktop}",0.007930859,0.327731092,1.781777388,78
282,"{Dell Laptop,iMac} => {HP Laptop}",0.007930859,0.318367347,1.640200554,78
281,"{Dell Laptop,HP Laptop} => {iMac}",0.007930859,0.419354839,1.637298467,78
422,"{Apple MacBook Air,iMac} => {Apple MacBook Pro}",0.007829181,0.275,2.488155474,77
310,"{HP Monitor,iMac} => {Dell Desktop}",0.007829181,0.291666667,2.176435255,77
334,"{Apple Magic Keyboard,CYBERPOWER Gamer Desktop} => {iMac}",0.007829181,0.534722222,2.087730471,77
6,{HP Black & Tri-color Ink} => {iMac},0.007829181,0.48125,1.878957424,77
309,"{Dell Desktop,HP Monitor} => {iMac}",0.007829181,0.44,1.71790393,77
421,"{Apple MacBook Air,Apple MacBook Pro} => {iMac}",0.007829181,0.342222222,1.336147501,77
266,"{Backlit LED Gaming Keyboard,CYBERPOWER Gamer Desktop} => {iMac}",0.007727504,0.391752577,1.52953021,76
267,"{Backlit LED Gaming Keyboard,iMac} => {CYBERPOWER Gamer Desktop}",0.007727504,0.280442804,1.524684899,76
213,"{Acer Monitor,iMac} => {HP Laptop}",0.007625826,0.371287129,1.912838612,75
212,"{Acer Monitor,HP Laptop} => {iMac}",0.007625826,0.462962963,1.807558849,75
390,"{iMac,Microsoft Wireless Desktop Keyboard and Mouse} => {HP Laptop}",0.007625826,0.309917355,1.596666941,75
461,"{Apple MacBook Air,Lenovo Desktop Computer} => {iMac}",0.007524148,0.47133758,1.840256092,74
462,"{Apple MacBook Air,iMac} => {Lenovo Desktop Computer}",0.007524148,0.264285714,1.785199176,74
21,{Koss Home Headphones} => {iMac},0.007524148,0.44047619,1.719763134,74
280,"{Dell Laptop,iMac} => {Lenovo Desktop Computer}",0.007422471,0.297959184,2.012656986,73
279,"{Dell Laptop,Lenovo Desktop Computer} => {iMac}",0.007422471,0.514084507,2.00715408,73
216,"{Apple Wireless Keyboard,HP Laptop} => {iMac}",0.007422471,0.486666667,1.900105862,73
217,"{Apple Wireless Keyboard,iMac} => {HP Laptop}",0.007422471,0.354368932,1.825677552,73
426,"{Apple MacBook Pro,ViewSonic Monitor} => {iMac}",0.007422471,0.462025316,1.80389797,73
237,"{iMac,Logitech 3-button Mouse} => {Lenovo Desktop Computer}",0.007320793,0.290322581,1.961073201,72
236,"{Lenovo Desktop Computer,Logitech 3-button Mouse} => {iMac}",0.007320793,0.473684211,1.849418107,72
27,{Logitech MK270 Wireless Keyboard and Mouse Combo} => {iMac},0.007320793,0.327272727,1.277779783,72
245,"{Belkin Mouse Pad,iMac} => {Lenovo Desktop Computer}",0.007219115,0.298319328,2.01508969,71
244,"{Belkin Mouse Pad,Lenovo Desktop Computer} => {iMac}",0.007219115,0.47972973,1.873021791,71
373,"{Acer Aspire,CYBERPOWER Gamer Desktop} => {iMac}",0.007219115,0.43030303,1.680043788,71
163,"{iMac,Intel Desktop} => {Lenovo Desktop Computer}",0.007117438,0.432098765,2.918744065,70
162,"{Intel Desktop,Lenovo Desktop Computer} => {iMac}",0.007117438,0.538461538,2.102329984,70
9,{Brother Printer Toner} => {iMac},0.007117438,0.402298851,1.57070631,70
12,{Microsoft Basic Optical Mouse} => {iMac},0.007117438,0.397727273,1.552857375,70
485,"{Acer Desktop,CYBERPOWER Gamer Desktop} => {iMac}",0.007117438,0.395480226,1.544084169,70
460,"{Apple MacBook Air,iMac} => {CYBERPOWER Gamer Desktop}",0.007117438,0.25,1.359176341,70
196,"{HP Laptop,iPad Pro} => {iMac}",0.00701576,0.482517483,1.88390609,69
197,"{iMac,iPad Pro} => {HP Laptop}",0.00701576,0.353846154,1.822984245,69
8,{Dell Wired Keyboard} => {iMac},0.00701576,0.423312883,1.652751968,69
590,"{Dell Desktop,iMac,Lenovo Desktop Computer} => {ViewSonic Monitor}",0.006914082,0.371584699,3.368235501,68
589,"{iMac,Lenovo Desktop Computer,ViewSonic Monitor} => {Dell Desktop}",0.006914082,0.438709677,3.273679573,68
588,"{Dell Desktop,iMac,ViewSonic Monitor} => {Lenovo Desktop Computer}",0.006914082,0.468965517,3.167771883,68
201,"{iMac,LG Monitor} => {ViewSonic Monitor}",0.006914082,0.310502283,2.814552953,68
587,"{Dell Desktop,Lenovo Desktop Computer,ViewSonic Monitor} => {iMac}",0.006914082,0.693877551,2.709124936,68
200,"{LG Monitor,ViewSonic Monitor} => {iMac}",0.006914082,0.5,1.952163557,68
271,"{Backlit LED Gaming Keyboard,iMac} => {Lenovo Desktop Computer}",0.006914082,0.250922509,1.694933295,68
270,"{Backlit LED Gaming Keyboard,Lenovo Desktop Computer} => {iMac}",0.006914082,0.425,1.659339023,68
387,"{iMac,Microsoft Wireless Desktop Keyboard and Mouse} => {Apple Earpods}",0.006914082,0.280991736,1.611401585,68
277,"{CYBERPOWER Gamer Desktop,Dell Laptop} => {iMac}",0.006914082,0.409638554,1.599362914,68
278,"{Dell Laptop,iMac} => {CYBERPOWER Gamer Desktop}",0.006914082,0.27755102,1.508963121,68
386,"{Apple Earpods,Microsoft Wireless Desktop Keyboard and Mouse} => {iMac}",0.006914082,0.280991736,1.097083652,68
577,"{Acer Desktop,HP Laptop,iMac} => {Dell Desktop}",0.006812405,0.426751592,3.18444758,67
578,"{Dell Desktop,HP Laptop,iMac} => {Acer Desktop}",0.006812405,0.305936073,3.002875527,67
576,"{Acer Desktop,Dell Desktop,iMac} => {HP Laptop}",0.006812405,0.572649573,2.950240203,67
248,"{Apple Magic Keyboard,ASUS Monitor} => {iMac}",0.006812405,0.67,2.615899166,67
283,"{Acer Desktop,Microsoft Office Home and Student 2016} => {iMac}",0.006812405,0.587719298,2.294648392,67
575,"{Acer Desktop,Dell Desktop,HP Laptop} => {iMac}",0.006812405,0.549180328,2.144179645,67
276,"{Dell Laptop,iMac} => {Dell Desktop}",0.006812405,0.273469388,2.040646,67
235,"{iMac,Logitech 3-button Mouse} => {Dell Desktop}",0.006812405,0.27016129,2.015960767,67
234,"{Dell Desktop,Logitech 3-button Mouse} => {iMac}",0.006812405,0.511450382,1.996869593,67
275,"{Dell Desktop,Dell Laptop} => {iMac}",0.006812405,0.511450382,1.996869593,67
186,"{ASUS Chromebook,CYBERPOWER Gamer Desktop} => {iMac}",0.006812405,0.5,1.952163557,67
187,"{ASUS Chromebook,iMac} => {CYBERPOWER Gamer Desktop}",0.006812405,0.319047619,1.734567901,67
10,{Slim 2TB Portable External Hard Drive} => {iMac},0.006812405,0.26171875,1.021835612,67
319,"{Acer Desktop,Apple Magic Keyboard} => {iMac}",0.006710727,0.622641509,2.430996128,66
220,"{ASUS 2 Monitor,ViewSonic Monitor} => {iMac}",0.006710727,0.578947368,2.260399908,66
161,"{Eluktronics Pro Gaming Laptop,iMac} => {HP Laptop}",0.006710727,0.425806452,2.193717366,66
165,"{iMac,Intel Desktop} => {HP Laptop}",0.006710727,0.407407407,2.098927109,66
164,"{HP Laptop,Intel Desktop} => {iMac}",0.006710727,0.485294118,1.894746982,66
160,"{Eluktronics Pro Gaming Laptop,HP Laptop} => {iMac}",0.006710727,0.464788732,1.81468725,66
193,"{iMac,iPad Pro} => {Dell Desktop}",0.006609049,0.333333333,2.487354578,65
303,"{HP Monitor,ViewSonic Monitor} => {iMac}",0.006609049,0.550847458,2.150688664,65
192,"{Dell Desktop,iPad Pro} => {iMac}",0.006609049,0.524193548,2.046623084,65
177,"{Epson Printer,iMac} => {Dell Desktop}",0.006507372,0.31840796,2.375980492,64
209,"{Acer Monitor,iMac} => {Dell Desktop}",0.006507372,0.316831683,2.364218212,64
176,"{Dell Desktop,Epson Printer} => {iMac}",0.006507372,0.587155963,2.292448948,64
227,"{ASUS 2 Monitor,CYBERPOWER Gamer Desktop} => {iMac}",0.006507372,0.576576577,2.251143561,64
211,"{Acer Monitor,iMac} => {Lenovo Desktop Computer}",0.006507372,0.316831683,2.140137091,64
210,"{Acer Monitor,Lenovo Desktop Computer} => {iMac}",0.006507372,0.542372881,2.117601147,64
208,"{Acer Monitor,Dell Desktop} => {iMac}",0.006507372,0.537815126,2.099806179,64
573,"{Acer Desktop,HP Laptop,iMac} => {ViewSonic Monitor}",0.006405694,0.401273885,3.637353606,63
569,"{Acer Aspire,HP Laptop,iMac} => {Dell Desktop}",0.006405694,0.477272727,3.561439509,63
570,"{Dell Desktop,HP Laptop,iMac} => {Acer Aspire}",0.006405694,0.287671233,3.475732894,63
572,"{Acer Desktop,iMac,ViewSonic Monitor} => {HP Laptop}",0.006405694,0.636363636,3.278489452,63
568,"{Acer Aspire,Dell Desktop,iMac} => {HP Laptop}",0.006405694,0.577981651,2.977710603,63
574,"{HP Laptop,iMac,ViewSonic Monitor} => {Acer Desktop}",0.006405694,0.270386266,2.653941045,63
571,"{Acer Desktop,HP Laptop,ViewSonic Monitor} => {iMac}",0.006405694,0.65625,2.562214669,63
219,"{Acer Desktop,ASUS 2 Monitor} => {iMac}",0.006405694,0.642857143,2.509924573,63
567,"{Acer Aspire,Dell Desktop,HP Laptop} => {iMac}",0.006405694,0.577981651,2.256629433,63
7,{Epson Black Ink} => {iMac},0.006405694,0.348066298,1.358964686,63
598,"{CYBERPOWER Gamer Desktop,HP Laptop,iMac} => {ViewSonic Monitor}",0.006304016,0.350282486,3.175141243,62
